t,agent_type,position,revenue,imbalance,da_position,capacity
3,VariableAgent,10.0,309.0638711030607,10.0,0.0,80.0
4,VariableAgent,10.0,309.0638711030607,10.0,0.0,80.0
5,VariableAgent,10.0,309.0638711030607,10.0,0.0,80.0
6,VariableAgent,10.0,309.0638711030607,10.0,0.0,80.0
7,VariableAgent,15.0,537.2115313408067,5.0,0.0,80.0
8,VariableAgent,15.0,537.2115313408067,5.0,0.0,80.0
9,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
10,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
11,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
12,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
13,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
14,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
15,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
16,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
17,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
18,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
19,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
20,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
21,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
22,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
23,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
24,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
25,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
26,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
27,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
28,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
29,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
30,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
31,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
32,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
33,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
34,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
35,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
36,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
37,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
38,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
39,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
40,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
41,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
42,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
43,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
44,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
45,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
46,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
47,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
48,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
49,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
50,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
51,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
52,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
53,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
54,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
55,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
56,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
57,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
58,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
59,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
60,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
61,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
62,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
63,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
64,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
65,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
66,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
67,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
68,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
69,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
70,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
71,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
72,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
73,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
74,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
75,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
76,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
77,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
78,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
79,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
80,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
81,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
82,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
83,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
84,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
85,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
86,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
87,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
88,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
89,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
90,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
91,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
92,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
93,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
94,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
95,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
96,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
97,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
98,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
99,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
100,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
101,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
102,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
103,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
104,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
105,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
106,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
107,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
108,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
109,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
110,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
111,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
112,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
113,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
114,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
115,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
116,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
117,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
118,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
119,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
120,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
121,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
122,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
123,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
124,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
125,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
126,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
127,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
128,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
129,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
130,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
131,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
132,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
133,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
134,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
135,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
136,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
137,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
138,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
139,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
140,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
141,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
142,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
143,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
144,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
145,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
146,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
147,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
148,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
149,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
150,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
151,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
152,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
153,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
154,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
155,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
156,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
157,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
158,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
159,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
160,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
161,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
162,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
163,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
164,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
165,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
166,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
167,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
168,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
169,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
170,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
171,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
172,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
173,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
174,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
175,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
176,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
177,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
178,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
179,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
180,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
181,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
182,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
183,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
184,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
185,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
186,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
187,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
188,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
189,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
190,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
191,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
192,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
193,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
194,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
195,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
196,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
197,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
198,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
199,VariableAgent,20.0,778.2386001665706,0.0,0.0,80.0
0,SimpleTrendAgent,0.0,0.0,0.0,0.0,100.0
1,SimpleTrendAgent,0.0,0.0,0.0,0.0,100.0
2,SimpleTrendAgent,5.0,93.97085074678367,0.0,0.0,100.0
3,SimpleTrendAgent,10.0,306.08381818217885,0.0,0.0,100.0
4,SimpleTrendAgent,10.0,306.08381818217885,0.0,0.0,100.0
5,SimpleTrendAgent,5.0,80.4289841391932,0.0,0.0,100.0
6,SimpleTrendAgent,5.0,80.4289841391932,0.0,0.0,100.0
7,SimpleTrendAgent,5.0,80.4289841391932,0.0,0.0,100.0
8,SimpleTrendAgent,5.0,80.4289841391932,0.0,0.0,100.0
9,SimpleTrendAgent,5.0,80.4289841391932,0.0,0.0,100.0
10,SimpleTrendAgent,5.0,80.4289841391932,0.0,0.0,100.0
11,SimpleTrendAgent,5.0,80.4289841391932,0.0,0.0,100.0
12,SimpleTrendAgent,5.0,80.4289841391932,0.0,0.0,100.0
13,SimpleTrendAgent,5.0,80.4289841391932,0.0,0.0,100.0
14,SimpleTrendAgent,10.0,284.7364517525329,0.0,0.0,100.0
15,SimpleTrendAgent,12.81406410228066,419.3141056808578,0.0,0.0,100.0
16,SimpleTrendAgent,12.81406410228066,419.3141056808578,0.0,0.0,100.0
17,SimpleTrendAgent,12.81406410228066,419.3141056808578,0.0,0.0,100.0
18,SimpleTrendAgent,7.8140641022806605,249.23684245218593,0.0,0.0,100.0
19,SimpleTrendAgent,7.8140641022806605,249.23684245218593,0.0,0.0,100.0
20,SimpleTrendAgent,7.8140641022806605,249.23684245218593,0.0,0.0,100.0
21,SimpleTrendAgent,12.81406410228066,438.9609715337459,0.0,0.0,100.0
22,SimpleTrendAgent,12.81406410228066,438.9609715337459,0.0,0.0,100.0
23,SimpleTrendAgent,12.81406410228066,438.9609715337459,0.0,0.0,100.0
24,SimpleTrendAgent,12.81406410228066,438.9609715337459,0.0,0.0,100.0
25,SimpleTrendAgent,12.81406410228066,438.9609715337459,0.0,0.0,100.0
26,SimpleTrendAgent,12.81406410228066,438.9609715337459,0.0,0.0,100.0
27,SimpleTrendAgent,12.81406410228066,438.9609715337459,0.0,0.0,100.0
28,SimpleTrendAgent,17.81406410228066,703.4901697996818,0.0,0.0,100.0
29,SimpleTrendAgent,12.81406410228066,461.7278246750583,0.0,0.0,100.0
30,SimpleTrendAgent,12.81406410228066,461.7278246750583,0.0,0.0,100.0
31,SimpleTrendAgent,12.81406410228066,461.7278246750583,0.0,0.0,100.0
32,SimpleTrendAgent,12.81406410228066,461.7278246750583,0.0,0.0,100.0
33,SimpleTrendAgent,12.81406410228066,461.7278246750583,0.0,0.0,100.0
34,SimpleTrendAgent,12.81406410228066,461.7278246750583,0.0,0.0,100.0
35,SimpleTrendAgent,10.081252356695206,332.7733921405925,0.0,0.0,100.0
36,SimpleTrendAgent,15.081252356695206,604.4673576605815,0.0,0.0,100.0
37,SimpleTrendAgent,15.081252356695206,604.4673576605815,0.0,0.0,100.0
38,SimpleTrendAgent,15.081252356695206,604.4673576605815,0.0,0.0,100.0
39,SimpleTrendAgent,15.081252356695206,604.4673576605815,0.0,0.0,100.0
40,SimpleTrendAgent,15.081252356695206,604.4673576605815,0.0,0.0,100.0
41,SimpleTrendAgent,10.442402334456473,427.51687112846435,0.0,0.0,100.0
42,SimpleTrendAgent,10.442402334456473,427.51687112846435,0.0,0.0,100.0
43,SimpleTrendAgent,15.442402334456473,626.0331302900911,0.0,0.0,100.0
44,SimpleTrendAgent,15.442402334456473,626.0331302900911,0.0,0.0,100.0
45,SimpleTrendAgent,15.442402334456473,626.0331302900911,0.0,0.0,100.0
46,SimpleTrendAgent,15.442402334456473,626.0331302900911,0.0,0.0,100.0
47,SimpleTrendAgent,20.442402334456474,876.7252667083934,0.0,0.0,100.0
48,SimpleTrendAgent,20.442402334456474,876.7252667083934,0.0,0.0,100.0
49,SimpleTrendAgent,20.442402334456474,876.7252667083934,0.0,0.0,100.0
50,SimpleTrendAgent,15.442402334456474,619.018017547301,0.0,0.0,100.0
51,SimpleTrendAgent,15.442402334456474,619.018017547301,0.0,0.0,100.0
52,SimpleTrendAgent,10.442402334456474,374.875316602452,0.0,0.0,100.0
53,SimpleTrendAgent,5.4424023344564745,152.94535559790523,0.0,0.0,100.0
54,SimpleTrendAgent,5.4424023344564745,152.94535559790523,0.0,0.0,100.0
55,SimpleTrendAgent,9.016225429296213,334.26098723236043,0.0,0.0,100.0
56,SimpleTrendAgent,4.016225429296213,101.78697240760417,0.0,0.0,100.0
57,SimpleTrendAgent,4.016225429296213,101.78697240760417,0.0,0.0,100.0
58,SimpleTrendAgent,4.016225429296213,101.78697240760417,0.0,0.0,100.0
59,SimpleTrendAgent,4.016225429296213,101.78697240760417,0.0,0.0,100.0
60,SimpleTrendAgent,4.016225429296213,101.78697240760417,0.0,0.0,100.0
61,SimpleTrendAgent,4.016225429296213,101.78697240760417,0.0,0.0,100.0
62,SimpleTrendAgent,4.016225429296213,101.78697240760417,0.0,0.0,100.0
63,SimpleTrendAgent,0.42637022318080753,-35.1650534464581,0.0,0.0,100.0
64,SimpleTrendAgent,0.42637022318080753,-35.1650534464581,0.0,0.0,100.0
65,SimpleTrendAgent,0.42637022318080753,-35.1650534464581,0.0,0.0,100.0
66,SimpleTrendAgent,0.42637022318080753,-35.1650534464581,0.0,0.0,100.0
67,SimpleTrendAgent,0.42637022318080753,-35.1650534464581,0.0,0.0,100.0
68,SimpleTrendAgent,-4.5736297768191925,-334.59246082969025,0.0,0.0,100.0
69,SimpleTrendAgent,-9.573629776819192,-569.2204634008726,0.0,0.0,100.0
70,SimpleTrendAgent,-14.573629776819192,-785.3253705114878,0.0,0.0,100.0
71,SimpleTrendAgent,-9.573629776819192,-555.5724115827938,0.0,0.0,100.0
72,SimpleTrendAgent,-9.573629776819192,-555.5724115827938,0.0,0.0,100.0
73,SimpleTrendAgent,-9.573629776819192,-555.5724115827938,0.0,0.0,100.0
74,SimpleTrendAgent,-4.5736297768191925,-332.00139910997586,0.0,0.0,100.0
75,SimpleTrendAgent,-4.5736297768191925,-332.00139910997586,0.0,0.0,100.0
76,SimpleTrendAgent,-4.5736297768191925,-332.00139910997586,0.0,0.0,100.0
77,SimpleTrendAgent,-9.573629776819192,-561.6226679686033,0.0,0.0,100.0
78,SimpleTrendAgent,-9.573629776819192,-561.6226679686033,0.0,0.0,100.0
79,SimpleTrendAgent,-14.573629776819192,-782.5538030125678,0.0,0.0,100.0
80,SimpleTrendAgent,-14.573629776819192,-782.5538030125678,0.0,0.0,100.0
81,SimpleTrendAgent,-14.573629776819192,-782.5538030125678,0.0,0.0,100.0
82,SimpleTrendAgent,-14.573629776819192,-782.5538030125678,0.0,0.0,100.0
83,SimpleTrendAgent,-14.573629776819192,-782.5538030125678,0.0,0.0,100.0
84,SimpleTrendAgent,-19.573629776819192,-1005.3161087865456,0.0,0.0,100.0
85,SimpleTrendAgent,-19.573629776819192,-1005.3161087865456,0.0,0.0,100.0
86,SimpleTrendAgent,-14.573629776819192,-783.7713935395093,0.0,0.0,100.0
87,SimpleTrendAgent,-14.573629776819192,-783.7713935395093,0.0,0.0,100.0
88,SimpleTrendAgent,-9.573629776819192,-579.2828980244274,0.0,0.0,100.0
89,SimpleTrendAgent,-9.573629776819192,-579.2828980244274,0.0,0.0,100.0
90,SimpleTrendAgent,-9.573629776819192,-579.2828980244274,0.0,0.0,100.0
91,SimpleTrendAgent,-9.573629776819192,-579.2828980244274,0.0,0.0,100.0
92,SimpleTrendAgent,-8.654165314210545,-535.9802208818016,0.0,0.0,100.0
93,SimpleTrendAgent,-8.654165314210545,-535.9802208818016,0.0,0.0,100.0
94,SimpleTrendAgent,-8.654165314210545,-535.9802208818016,0.0,0.0,100.0
95,SimpleTrendAgent,-13.654165314210545,-833.6450740743351,0.0,0.0,100.0
96,SimpleTrendAgent,-13.654165314210545,-833.6450740743351,0.0,0.0,100.0
97,SimpleTrendAgent,-13.654165314210545,-833.6450740743351,0.0,0.0,100.0
98,SimpleTrendAgent,-13.654165314210545,-833.6450740743351,0.0,0.0,100.0
99,SimpleTrendAgent,-13.654165314210545,-833.6450740743351,0.0,0.0,100.0
100,SimpleTrendAgent,-8.654165314210545,-653.8390624977612,0.0,0.0,100.0
101,SimpleTrendAgent,-8.654165314210545,-653.8390624977612,0.0,0.0,100.0
102,SimpleTrendAgent,-8.654165314210545,-653.8390624977612,0.0,0.0,100.0
103,SimpleTrendAgent,-8.654165314210545,-653.8390624977612,0.0,0.0,100.0
104,SimpleTrendAgent,-8.654165314210545,-653.8390624977612,0.0,0.0,100.0
105,SimpleTrendAgent,-3.6541653142105446,-438.96715652145974,0.0,0.0,100.0
106,SimpleTrendAgent,-3.6541653142105446,-438.96715652145974,0.0,0.0,100.0
107,SimpleTrendAgent,-8.654165314210545,-656.5544585701432,0.0,0.0,100.0
108,SimpleTrendAgent,-8.654165314210545,-656.5544585701432,0.0,0.0,100.0
109,SimpleTrendAgent,-5.112966515641604,-492.7308111761755,0.0,0.0,100.0
110,SimpleTrendAgent,-5.112966515641604,-492.7308111761755,0.0,0.0,100.0
111,SimpleTrendAgent,-5.112966515641604,-492.7308111761755,0.0,0.0,100.0
112,SimpleTrendAgent,-10.112966515641604,-659.8786773959414,0.0,0.0,100.0
113,SimpleTrendAgent,-10.112966515641604,-659.8786773959414,0.0,0.0,100.0
114,SimpleTrendAgent,-10.112966515641604,-659.8786773959414,0.0,0.0,100.0
115,SimpleTrendAgent,-13.11130857780443,-712.7605937945082,0.0,0.0,100.0
116,SimpleTrendAgent,-8.11130857780443,-562.2734676315536,0.0,0.0,100.0
117,SimpleTrendAgent,-8.11130857780443,-562.2734676315536,0.0,0.0,100.0
118,SimpleTrendAgent,-13.11130857780443,-787.5029971021912,0.0,0.0,100.0
119,SimpleTrendAgent,-13.11130857780443,-787.5029971021912,0.0,0.0,100.0
120,SimpleTrendAgent,-13.11130857780443,-787.5029971021912,0.0,0.0,100.0
121,SimpleTrendAgent,-13.11130857780443,-787.5029971021912,0.0,0.0,100.0
122,SimpleTrendAgent,-13.11130857780443,-787.5029971021912,0.0,0.0,100.0
123,SimpleTrendAgent,-13.11130857780443,-787.5029971021912,0.0,0.0,100.0
124,SimpleTrendAgent,-13.11130857780443,-787.5029971021912,0.0,0.0,100.0
125,SimpleTrendAgent,-11.730112112153265,-705.8637347379877,0.0,0.0,100.0
126,SimpleTrendAgent,-13.043302804340144,-764.0907173543939,0.0,0.0,100.0
127,SimpleTrendAgent,-8.043302804340144,-350.3018337765762,0.0,0.0,100.0
128,SimpleTrendAgent,-8.043302804340144,-350.3018337765762,0.0,0.0,100.0
129,SimpleTrendAgent,-8.043302804340144,-350.3018337765762,0.0,0.0,100.0
130,SimpleTrendAgent,-13.043302804340144,-586.7599248312093,0.0,0.0,100.0
131,SimpleTrendAgent,-8.043302804340144,-337.9451359773459,0.0,0.0,100.0
132,SimpleTrendAgent,-13.043302804340144,-572.6457158690224,0.0,0.0,100.0
133,SimpleTrendAgent,-13.043302804340144,-572.6457158690224,0.0,0.0,100.0
134,SimpleTrendAgent,-8.043302804340144,-338.8970657048892,0.0,0.0,100.0
135,SimpleTrendAgent,-8.043302804340144,-338.8970657048892,0.0,0.0,100.0
136,SimpleTrendAgent,-13.043302804340144,-630.1961681245789,0.0,0.0,100.0
137,SimpleTrendAgent,-13.043302804340144,-630.1961681245789,0.0,0.0,100.0
138,SimpleTrendAgent,-13.043302804340144,-630.1961681245789,0.0,0.0,100.0
139,SimpleTrendAgent,-13.043302804340144,-630.1961681245789,0.0,0.0,100.0
140,SimpleTrendAgent,-13.043302804340144,-630.1961681245789,0.0,0.0,100.0
141,SimpleTrendAgent,-18.043302804340144,-761.1654530842522,0.0,0.0,100.0
142,SimpleTrendAgent,-18.043302804340144,-761.1654530842522,0.0,0.0,100.0
143,SimpleTrendAgent,-13.043302804340144,-410.7357070750182,0.0,0.0,100.0
144,SimpleTrendAgent,-9.015941734975039,-87.06086790924797,0.0,0.0,100.0
145,SimpleTrendAgent,-10.255766129649537,-155.3784921212535,0.0,0.0,100.0
146,SimpleTrendAgent,-10.255766129649537,-155.3784921212535,0.0,0.0,100.0
147,SimpleTrendAgent,-10.255766129649537,-155.3784921212535,0.0,0.0,100.0
148,SimpleTrendAgent,-10.255766129649537,-155.3784921212535,0.0,0.0,100.0
149,SimpleTrendAgent,-10.255766129649537,-155.3784921212535,0.0,0.0,100.0
150,SimpleTrendAgent,-10.255766129649537,-155.3784921212535,0.0,0.0,100.0
151,SimpleTrendAgent,-6.667093055122278,113.72057344777858,0.0,0.0,100.0
152,SimpleTrendAgent,-6.667093055122278,113.72057344777858,0.0,0.0,100.0
153,SimpleTrendAgent,-6.667093055122278,113.72057344777858,0.0,0.0,100.0
154,SimpleTrendAgent,-4.2788552572765175,293.4820842885495,0.0,0.0,100.0
155,SimpleTrendAgent,0.7211447427234825,727.2821334454984,0.0,0.0,100.0
156,SimpleTrendAgent,0.7211447427234825,727.2821334454984,0.0,0.0,100.0
157,SimpleTrendAgent,0.7211447427234825,727.2821334454984,0.0,0.0,100.0
158,SimpleTrendAgent,0.7211447427234825,727.2821334454984,0.0,0.0,100.0
159,SimpleTrendAgent,0.7211447427234825,727.2821334454984,0.0,0.0,100.0
160,SimpleTrendAgent,-3.5867503851960496,529.7244234523978,0.0,0.0,100.0
161,SimpleTrendAgent,-3.5867503851960496,529.7244234523978,0.0,0.0,100.0
162,SimpleTrendAgent,-3.5867503851960496,529.7244234523978,0.0,0.0,100.0
163,SimpleTrendAgent,-3.5867503851960496,529.7244234523978,0.0,0.0,100.0
164,SimpleTrendAgent,-3.5867503851960496,529.7244234523978,0.0,0.0,100.0
165,SimpleTrendAgent,-3.5867503851960496,529.7244234523978,0.0,0.0,100.0
166,SimpleTrendAgent,-8.58675038519605,464.5643553789543,0.0,0.0,100.0
167,SimpleTrendAgent,-8.58675038519605,464.5643553789543,0.0,0.0,100.0
168,SimpleTrendAgent,-8.58675038519605,464.5643553789543,0.0,0.0,100.0
169,SimpleTrendAgent,-3.5867503851960496,583.0336695880089,0.0,0.0,100.0
170,SimpleTrendAgent,-3.5867503851960496,583.0336695880089,0.0,0.0,100.0
171,SimpleTrendAgent,-3.5867503851960496,583.0336695880089,0.0,0.0,100.0
172,SimpleTrendAgent,-3.5867503851960496,583.0336695880089,0.0,0.0,100.0
173,SimpleTrendAgent,-3.5867503851960496,583.0336695880089,0.0,0.0,100.0
174,SimpleTrendAgent,-2.5789729978669227,665.9956090181186,0.0,0.0,100.0
175,SimpleTrendAgent,-2.5789729978669227,665.9956090181186,0.0,0.0,100.0
176,SimpleTrendAgent,-2.5789729978669227,665.9956090181186,0.0,0.0,100.0
177,SimpleTrendAgent,-2.5789729978669227,665.9956090181186,0.0,0.0,100.0
